index,time_range,text
149,"00:06:24,759 --> 00:06:32,319",variable and I'm assuming they have all
150,"00:06:27,880 --> 00:06:35,560",the same variance Sigma squ and I'm also
151,"00:06:32,319 --> 00:06:38,039",assuming they have a fixed correlation
152,"00:06:35,560 --> 00:06:41,479",between any yeah any two of them and
153,"00:06:38,039 --> 00:06:43,919",that correlation all denote by row what
154,"00:06:41,479 --> 00:06:46,400",is now the variance of our Ensemble fad
155,"00:06:43,919 --> 00:06:48,639",we just insert our definition of the
156,"00:06:46,400 --> 00:06:53,120",bagging Ensemble that's just an average
157,"00:06:48,639 --> 00:06:55,240",yeah over these base Learners bad n now
158,"00:06:53,120 --> 00:06:58,440",there is now a nice formula for what
159,"00:06:55,240 --> 00:07:00,080",happens with the variance even if stuff
160,"00:06:58,440 --> 00:07:01,680",is not completely independ depent if it
161,"00:07:00,080 --> 00:07:04,680",would be independent I could now just
162,"00:07:01,680 --> 00:07:06,800",draw the variance operator kind of in a
163,"00:07:04,680 --> 00:07:08,440",in a linear fashion inside of the sum
164,"00:07:06,800 --> 00:07:10,759",but here I can't do that because stuff
165,"00:07:08,440 --> 00:07:13,199",is correlated but I can use this more
166,"00:07:10,759 --> 00:07:14,280",general formula here we have this which
167,"00:07:13,199 --> 00:07:17,080",in a certain sense looks a little bit
168,"00:07:14,280 --> 00:07:19,360",like a binomial formula so these squar
169,"00:07:17,080 --> 00:07:23,000",terms here but here I have these
170,"00:07:19,360 --> 00:07:25,400",covariance terms between Pairs of random
171,"00:07:23,000 --> 00:07:26,879",variables okay can write it like that
172,"00:07:25,400 --> 00:07:29,639",and now the only thing I will do is I
173,"00:07:26,879 --> 00:07:33,160",will insert my my constants my
174,"00:07:29,639 --> 00:07:35,360",abbreviations so the variance of bad M
175,"00:07:33,160 --> 00:07:37,800",so that's supposed to be Sigma squ so
176,"00:07:35,360 --> 00:07:40,520",we'll insert that here and now there's a
177,"00:07:37,800 --> 00:07:44,720",sum over M of these things so it's
178,"00:07:40,520 --> 00:07:47,120",capital M of Sigma squ I can also insert
179,"00:07:44,720 --> 00:07:48,680",my correlation here now I have to be a
180,"00:07:47,120 --> 00:07:51,440",little bit careful because correlation
181,"00:07:48,680 --> 00:07:54,039",is not the same as Co variance but
182,"00:07:51,440 --> 00:07:56,639",correlation multiplied by the standard
183,"00:07:54,039 --> 00:07:58,000",deviation of of the one variable
184,"00:07:56,639 --> 00:08:00,159",multipli by the standard deviation of
185,"00:07:58,000 --> 00:08:01,639",the other variable that's the same as Co
186,"00:08:00,159 --> 00:08:03,919",variance and because they all have the
187,"00:08:01,639 --> 00:08:08,759",same variance so it's co variance
188,"00:08:03,919 --> 00:08:12,440",between I and J is or sorry M and J is
189,"00:08:08,759 --> 00:08:14,879",simply row * Sigma * Sigma so * Sigma
190,"00:08:12,440 --> 00:08:18,960",squ now all of these terms here in this
191,"00:08:14,879 --> 00:08:23,319",sum they are now all also all the same
192,"00:08:18,960 --> 00:08:29,199",it's a sum over let me check capital M
193,"00:08:23,319 --> 00:08:32,959",over 2 PA so this is M * m - 1 / 2 we
194,"00:08:29,199 --> 00:08:35,440",cop over the two oh and I forgot about
195,"00:08:32,959 --> 00:08:37,479",this guy here so the one divided by m
196,"00:08:35,440 --> 00:08:39,839",that's inside of the variant so we draw
197,"00:08:37,479 --> 00:08:43,800",that to the outside I'm actually already
198,"00:08:39,839 --> 00:08:46,080",doing that here this becomes 1 / m^2 and
199,"00:08:43,800 --> 00:08:49,160",now you just simplify things a little
200,"00:08:46,080 --> 00:08:51,519",bit you collect terms a bit I'll remove
201,"00:08:49,160 --> 00:08:53,480",all of my annoying scribbling here and
202,"00:08:51,519 --> 00:08:55,519",then we look at the resulting formula
203,"00:08:53,480 --> 00:08:57,880",and that has actually pretty nice
204,"00:08:55,519 --> 00:09:02,680",structure it's quite instructive so we
205,"00:08:57,880 --> 00:09:05,600",can see here the sigma squ ided by m so
206,"00:09:02,680 --> 00:09:07,800",that would be the optimal reduction in
207,"00:09:05,600 --> 00:09:11,040",variance we could ever hope for okay if
208,"00:09:07,800 --> 00:09:14,200",there would be no correlation and here
209,"00:09:11,040 --> 00:09:15,880",the sigma squar that's the worst that
210,"00:09:14,200 --> 00:09:19,000",can happen to
211,"00:09:15,880 --> 00:09:21,120",us because that would be no reduction
212,"00:09:19,000 --> 00:09:24,519",variance you could for example think of
213,"00:09:21,120 --> 00:09:26,040",all models being exact copies of each
214,"00:09:24,519 --> 00:09:28,040",other yeah so really deterministic
215,"00:09:26,040 --> 00:09:29,519",copies then if you average those there
216,"00:09:28,040 --> 00:09:31,760",will be no reduction variance right
217,"00:09:29,519 --> 00:09:35,320",because you're just aing out averaging
218,"00:09:31,760 --> 00:09:38,440",out over all of the same things now this
219,"00:09:35,320 --> 00:09:42,240",formula here tells us that between this
220,"00:09:38,440 --> 00:09:45,839",zero reduction in variance and between
221,"00:09:42,240 --> 00:09:48,320",this optimal linear reduction in
222,"00:09:45,839 --> 00:09:49,920",invariance what we get is a convex
223,"00:09:48,320 --> 00:09:51,959",combination of the two so you can see
224,"00:09:49,920 --> 00:09:55,240",the convex combination here by one minus
225,"00:09:51,959 --> 00:09:57,680",row here and having the RO there and
226,"00:09:55,240 --> 00:10:00,600",this convex combination is controlled by
227,"00:09:57,680 --> 00:10:02,959",the correlation between test of models
228,"00:10:00,600 --> 00:10:06,079",of random variables the stronger the
229,"00:10:02,959 --> 00:10:08,839",correlation the less reduction you get
230,"00:10:06,079 --> 00:10:12,160",the closer you are to this yeah to this
231,"00:10:08,839 --> 00:10:16,360",zero reduction in variance and if so if
232,"00:10:12,160 --> 00:10:19,000",for example yeah if if robot be one yeah
233,"00:10:16,360 --> 00:10:22,040",then this here becomes zero and we just
234,"00:10:19,000 --> 00:10:25,279",end up with this very bad scenario where
235,"00:10:22,040 --> 00:10:27,959",there's no reduction and if R would be
236,"00:10:25,279 --> 00:10:30,279",zero there would be no correlation yeah
237,"00:10:27,959 --> 00:10:31,600",then we have in this scenario of
238,"00:10:30,279 --> 00:10:33,000",shouldn't say independence because we
239,"00:10:31,600 --> 00:10:34,680",don't know that whether things are
240,"00:10:33,000 --> 00:10:36,639",normally distributed here but in this
241,"00:10:34,680 --> 00:10:37,839",uncorrelated scenario where we get
242,"00:10:36,639 --> 00:10:40,399",linear
243,"00:10:37,839 --> 00:10:42,800",reduction this is somewhat simplified
244,"00:10:40,399 --> 00:10:45,279",I'll add a caveat on the next slide but
245,"00:10:42,800 --> 00:10:48,480",in general now the idea is can we maybe
246,"00:10:45,279 --> 00:10:51,240",decorrelate trees bit more to reduce
247,"00:10:48,480 --> 00:10:53,920",onal variance and that will maybe also
248,"00:10:51,240 --> 00:10:57,440",help us to reduce production error I
249,"00:10:53,920 --> 00:10:59,800",guess that is a valid path forward now
250,"00:10:57,440 --> 00:11:02,839",and this is exactly what bman did so he
251,"00:10:59,800 --> 00:11:04,800",now thought about a simple randomization
252,"00:11:02,839 --> 00:11:07,399",procedure that he could bring into the
253,"00:11:04,800 --> 00:11:09,240",tree fitting algorithm so what we are
254,"00:11:07,399 --> 00:11:12,760",now doing is when we are fitting our
255,"00:11:09,240 --> 00:11:14,639",tree we greedily construct more and more
256,"00:11:12,760 --> 00:11:17,639",nodes in the tree we construct more and
257,"00:11:14,639 --> 00:11:19,720",more splits and in each individual split
258,"00:11:17,639 --> 00:11:21,440",and when we construct that we search for
259,"00:11:19,720 --> 00:11:23,680",the best split and when we search for
260,"00:11:21,440 --> 00:11:26,120",the best split we search over all
261,"00:11:23,680 --> 00:11:28,839",potential features and then over all
262,"00:11:26,120 --> 00:11:31,360",possible split points to find the one
263,"00:11:28,839 --> 00:11:34,240",which would reduces our risk the most so
264,"00:11:31,360 --> 00:11:38,399",this randomization procedure now says do
265,"00:11:34,240 --> 00:11:41,200",not search over all features but only
266,"00:11:38,399 --> 00:11:43,440",consider a certain subset and that
267,"00:11:41,200 --> 00:11:45,120",random subset of the I don't know
268,"00:11:43,440 --> 00:11:47,959",feasible features you're allowed to look
269,"00:11:45,120 --> 00:11:50,920",at in Split finding that's randomly
270,"00:11:47,959 --> 00:11:53,279",sampled again and again um per note you
271,"00:11:50,920 --> 00:11:55,880",could do this also per tree but usually
272,"00:11:53,279 --> 00:11:58,200",this is done on a per note basis if you
273,"00:11:55,880 --> 00:12:00,480",look in some at some implementations
274,"00:11:58,200 --> 00:12:03,360",especially in r this parameter is called
275,"00:12:00,480 --> 00:12:05,720",M try I guess that might be for maximum
276,"00:12:03,360 --> 00:12:08,320",number of features to try out for
277,"00:12:05,720 --> 00:12:10,200",finding a split I'm not exactly sure
278,"00:12:08,320 --> 00:12:12,519",whether that's the the interpretation of
279,"00:12:10,200 --> 00:12:14,360",the m and we will only consider these
280,"00:12:12,519 --> 00:12:16,600",features now for finding the best split
281,"00:12:14,360 --> 00:12:19,839",so maybe here this is our complete let
282,"00:12:16,600 --> 00:12:21,360",me actually switch my pen tool on again
283,"00:12:19,839 --> 00:12:23,480",so that maybe that's our complete data
284,"00:12:21,360 --> 00:12:24,920",set here so with our Target column here
285,"00:12:23,480 --> 00:12:27,040",we might have a bunch of different
286,"00:12:24,920 --> 00:12:29,399",features maybe there's four but now we
287,"00:12:27,040 --> 00:12:31,600",will only allow color and length yeah
288,"00:12:29,399 --> 00:12:34,360",for this I don't know um training data
289,"00:12:31,600 --> 00:12:36,519",set of measurements of bananas or
290,"00:12:34,360 --> 00:12:39,199",objects which can be bananas and maybe
291,"00:12:36,519 --> 00:12:42,920",also something else and we will not only
292,"00:12:39,199 --> 00:12:44,680",search over them okay um and the idea is
293,"00:12:42,920 --> 00:12:47,519",I guess that's some pretty obvious so
294,"00:12:44,680 --> 00:12:50,000",the more we decorrelate or we the
295,"00:12:47,519 --> 00:12:52,720",smaller we set this mry here the more
296,"00:12:50,000 --> 00:12:55,440",trees become decorrelated but also the
297,"00:12:52,720 --> 00:12:58,120",more rendom our trees become in the
298,"00:12:55,440 --> 00:13:00,279",extreme case for example for a specific
299,"00:12:58,120 --> 00:13:03,279",node and you you might have a large
300,"00:13:00,279 --> 00:13:05,760",number of features maybe 100 and M2
301,"00:13:03,279 --> 00:13:07,639",would be set to one so you now pick one
302,"00:13:05,760 --> 00:13:09,480",random feature and then you only allowed
303,"00:13:07,639 --> 00:13:11,199",to search for the best split point for
304,"00:13:09,480 --> 00:13:12,480",that feature which might be a very bad
305,"00:13:11,199 --> 00:13:14,120",one yeah it might not carry any
306,"00:13:12,480 --> 00:13:15,959",information it might not even be
307,"00:13:14,120 --> 00:13:18,240",associated with wi might be some
308,"00:13:15,959 --> 00:13:20,560",something like a noise feature but so
309,"00:13:18,240 --> 00:13:22,920",you but you're only allowed to use that
310,"00:13:20,560 --> 00:13:25,360",to find a split at that note guess for a
311,"00:13:22,920 --> 00:13:27,440",newe going to sample again but this
312,"00:13:25,360 --> 00:13:29,120",makes the trees fairly random and this
313,"00:13:27,440 --> 00:13:31,240",will also have a negative effect if you
314,"00:13:29,120 --> 00:13:33,040",overdo that but hopefully there might be
315,"00:13:31,240 --> 00:13:35,959",something like a sweet sweet spot in the
316,"00:13:33,040 --> 00:13:38,600",Middle where this decorrelation helps to
317,"00:13:35,959 --> 00:13:40,680",reduce variance as we discussed before
318,"00:13:38,600 --> 00:13:43,160",but the trees are not becoming super
319,"00:13:40,680 --> 00:13:46,320",random and this is usually exactly what
320,"00:13:43,160 --> 00:13:49,720",happens I've created here to simp yeah
321,"00:13:46,320 --> 00:13:51,560",visualizations to simple examples so I
322,"00:13:49,720 --> 00:13:53,759",used the classification data set the
323,"00:13:51,560 --> 00:13:55,480",spam data set I use this empty cars data
324,"00:13:53,759 --> 00:13:59,480",set for regression which we've also seen
325,"00:13:55,480 --> 00:14:01,880",before and then now varying mry as
326,"00:13:59,480 --> 00:14:07,680",percentage of total features in my data
327,"00:14:01,880 --> 00:14:10,240",set from 0 to 100 and I'm now plotting
328,"00:14:07,680 --> 00:14:12,000",the cross validated error of these
329,"00:14:10,240 --> 00:14:15,360",different mry settings and what you can
330,"00:14:12,000 --> 00:14:18,959",see is that if we set mry to very low
331,"00:14:15,360 --> 00:14:21,800",value to so maybe to one then this
332,"00:14:18,959 --> 00:14:24,600",doesn't work too well at least in in
333,"00:14:21,800 --> 00:14:26,759",this data set here so our trees are
334,"00:14:24,600 --> 00:14:29,320",becoming way too random yeah we are not
335,"00:14:26,759 --> 00:14:30,680",really finding uh good splits anymore in
336,"00:14:29,320 --> 00:14:34,680",our trees and then the variance
337,"00:14:30,680 --> 00:14:38,360",reduction also doesn't save us and then
338,"00:14:34,680 --> 00:14:41,680",M becomes a bit larger and that works
339,"00:14:38,360 --> 00:14:44,759",actually fairly well and at some point m
340,"00:14:41,680 --> 00:14:48,000",is too large yeah and this would here
341,"00:14:44,759 --> 00:14:50,000",for m equals 100% that would be the
342,"00:14:48,000 --> 00:14:52,560",original begging algorithm but you can
343,"00:14:50,000 --> 00:14:55,800",see that usually there's a spot where we
344,"00:14:52,560 --> 00:15:00,079",perform actually considerably better
345,"00:14:55,800 --> 00:15:02,480",than by just fixing mry to 100% And and
346,"00:15:00,079 --> 00:15:04,600",basically running the original bagging
347,"00:15:02,480 --> 00:15:07,279",algorithm so there is some Merit there
348,"00:15:04,600 --> 00:15:11,040",is some benefit in running this this
349,"00:15:07,279 --> 00:15:14,320",decorrelated version of The
350,"00:15:11,040 --> 00:15:16,759",Ensemble quite good default values exist
351,"00:15:14,320 --> 00:15:19,399",which have being empirically I would say
352,"00:15:16,759 --> 00:15:22,199",nicely validated so for classification
353,"00:15:19,399 --> 00:15:24,440",very often we set this m try here to
354,"00:15:22,199 --> 00:15:27,399",square root of number of features so
355,"00:15:24,440 --> 00:15:29,839",that's also due to Bron and for
356,"00:15:27,399 --> 00:15:32,440",regression we usually set it to somewhat
357,"00:15:29,839 --> 00:15:36,319",larger value so P ided by 3 usually
358,"00:15:32,440 --> 00:15:38,160",works quite well I've even yeah looked
359,"00:15:36,319 --> 00:15:40,319",at what would happen if I would have
360,"00:15:38,160 --> 00:15:43,199",used these default settings here for my
361,"00:15:40,319 --> 00:15:46,079",two examples turns out yeah I was quite
362,"00:15:43,199 --> 00:15:47,959",lucky they do work quite well here
363,"00:15:46,079 --> 00:15:50,319",especially for the classification case
364,"00:15:47,959 --> 00:15:52,040",nearly perfect for regression I guess I
365,"00:15:50,319 --> 00:15:55,040",could have used an even larger setting
366,"00:15:52,040 --> 00:15:58,440",yeah the random Forest algorithm itself
367,"00:15:55,040 --> 00:16:00,079",is not I would say super sensitive to
368,"00:15:58,440 --> 00:16:02,160",its hyper parer settings and these
369,"00:16:00,079 --> 00:16:03,720",defaults usually work fairly well so if
370,"00:16:02,160 --> 00:16:06,639",you just stick to them if you don't do
371,"00:16:03,720 --> 00:16:09,480",any tuning you usually I would say you
372,"00:16:06,639 --> 00:16:11,759",are not completely wrong in being lazy
373,"00:16:09,480 --> 00:16:13,839",here and not tuning your model but if
374,"00:16:11,759 --> 00:16:15,199",you want to tune a parameter this um
375,"00:16:13,839 --> 00:16:17,600",yeah this this feature sampling
376,"00:16:15,199 --> 00:16:19,920",parameter this mry parameter is usually
377,"00:16:17,600 --> 00:16:23,360",the most important one so you can tune
378,"00:16:19,920 --> 00:16:27,519",that um but you usually get I would say
379,"00:16:23,360 --> 00:16:29,279",less less improvements um than for for
380,"00:16:27,519 --> 00:16:30,759",hyper parames of other Machining models
381,"00:16:29,279 --> 00:16:32,839",but you can try it sometimes it does
382,"00:16:30,759 --> 00:16:35,560",work and it's
383,"00:16:32,839 --> 00:16:38,360",worthwhile um we can also control the
384,"00:16:35,560 --> 00:16:40,480",depth of our trees or at the very least
385,"00:16:38,360 --> 00:16:42,600",we can discuss whether we would use
386,"00:16:40,480 --> 00:16:44,600",somewhat shallow or deeper trees here in
387,"00:16:42,600 --> 00:16:47,399",random Forest so in random Forest we
388,"00:16:44,600 --> 00:16:49,560",usually use fully expanded trees so we
389,"00:16:47,399 --> 00:16:52,079",don't really do any aggressive early
390,"00:16:49,560 --> 00:16:53,839",stopping of our tree expansion I think
391,"00:16:52,079 --> 00:16:56,040",we also talked here in the lecture about
392,"00:16:53,839 --> 00:16:57,959",po talk pruning of trees usually all of
393,"00:16:56,040 --> 00:16:59,839",that is not really done so the tree is
394,"00:16:57,959 --> 00:17:02,480",configured in a manner that it's either
395,"00:16:59,839 --> 00:17:05,880",fully or let's say nearly fully expanded
396,"00:17:02,480 --> 00:17:08,640",and that is also done in order to
397,"00:17:05,880 --> 00:17:10,959",increase the variability um the variance
398,"00:17:08,640 --> 00:17:13,520",of each individual tree to get more from
399,"00:17:10,959 --> 00:17:15,280",this you from this smoothing in the
400,"00:17:13,520 --> 00:17:17,640",begging
401,"00:17:15,280 --> 00:17:20,480",procedure we do can control this a
402,"00:17:17,640 --> 00:17:21,959",little bit or can discuss the effects a
403,"00:17:20,480 --> 00:17:23,839",bit so for example there would be a
404,"00:17:21,959 --> 00:17:25,839",parameter which controls the minimum
405,"00:17:23,839 --> 00:17:28,160",number of observations in each decision
406,"00:17:25,839 --> 00:17:31,200",tree node so that's usually called yeah
407,"00:17:28,160 --> 00:17:33,640",Min node size and that if you are below
408,"00:17:31,200 --> 00:17:36,520",below that Min node size you would not
409,"00:17:33,640 --> 00:17:38,960",attempt a further split in your tree by
410,"00:17:36,520 --> 00:17:41,919",setting that to a larger value you can
411,"00:17:38,960 --> 00:17:44,559",actually restrict and constrain
412,"00:17:41,919 --> 00:17:47,440",regularize the size of your trees in
413,"00:17:44,559 --> 00:17:51,000",your emble the default for that is very
414,"00:17:47,440 --> 00:17:52,600",often a low value sometimes around five
415,"00:17:51,000 --> 00:17:53,960",can also vary a little bit between
416,"00:17:52,600 --> 00:17:55,640",regression and classification usually
417,"00:17:53,960 --> 00:17:58,600",for regression you set it to an even
418,"00:17:55,640 --> 00:18:00,640",lower value I have again looked at what
419,"00:17:58,600 --> 00:18:02,799",happen happens on the spam data set for
420,"00:18:00,640 --> 00:18:04,799",classification and on the Mt cars data
