index,time_range,text
68,"00:04:24,560 --> 00:04:30,960","We get to experience feelings. We get to experience food, books, sunrises, and being with each other."
69,"00:04:30,960 --> 00:04:35,920",The fact that we're even able to think about these things is already kind of incredible.
70,"00:04:35,920 --> 00:04:40,840","It's easy to think of ourselves as separated from everything, but this is not true."
71,"00:04:40,840 --> 00:04:43,780",We are as much the universe as a neutron star
72,"00:04:43,780 --> 00:04:45,980",or a black hole or a nebula.
73,"00:04:45,980 --> 00:04:49,455","Even better, actually, we are its thinking and feeling part:"
74,"00:04:49,460 --> 00:04:52,060",the centre organs of the universe.
75,"00:04:52,060 --> 00:04:55,435","We are truly free in a universe-sized playground,"
76,"00:04:55,440 --> 00:05:00,400",so we might as well aim to be happy and to build some kind of utopia in the stars.
77,"00:05:00,400 --> 00:05:03,400",It's not as if we've found out everything there is to know
78,"00:05:03,400 --> 00:05:06,140","We don't know why the rules of the universe are as they are,"
79,"00:05:06,140 --> 00:05:09,540","how life came into existence, what life is."
80,"00:05:09,540 --> 00:05:14,560",We have no idea what consciousness is or if we are alone in the universe.
81,"00:05:14,560 --> 00:05:17,060",But we can try to find some answers.
82,"00:05:17,540 --> 00:05:20,980","There are billions of stars to visit, diseases to cure,"
83,"00:05:20,980 --> 00:05:23,920","people to help, happy feelings to be experienced,"
84,"00:05:23,920 --> 00:05:25,900",and video games to finish.
85,"00:05:25,900 --> 00:05:28,160",There is so much to do.
86,"00:05:28,160 --> 00:05:32,940","So, wrapping up, you've probably used up a good chunk of the time available to you."
87,"00:05:32,940 --> 00:05:37,040","If this is our one shot at life, there is no reason not to have fun"
88,"00:05:37,040 --> 00:05:38,840",and live as happy as possible.
89,"00:05:39,460 --> 00:05:42,400",Bonus points if you made the life of other people better.
90,"00:05:42,400 --> 00:05:45,980",More bonus points if you help build a galactic human empire.
91,"00:05:46,680 --> 00:05:49,320",Do the things that make you feel good.
