index,time_range,text,google_translate,claude_translation,link
21,01:25 -> 01:28,"Then to understand the transformation as a whole,","Այնուհետեւ հասկանալ վերափոխումը որպես ամբողջություն,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
22,01:28 -> 01:32,we might imagine watching every possible input vector move over to its,"Մենք պատկերացնում ենք, որ դիտում ենք, որ մուտքային յուրաքանչյուր վեկտորը տեղափոխվի դրա",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
23,01:32 -> 01:34,corresponding output vector.,Համապատասխան ելքային վեկտոր:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
24,01:34 -> 01:38,"It gets really crowded to think about all of the vectors all at once,","Այն իսկապես մարդաշատ է դառնում, որպեսզի միանգամից մտածեք բոլոր վեկտորների մասին,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
25,01:38 -> 01:39,each one as an arrow.,յուրաքանչյուրը որպես սլաք:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
26,01:39 -> 01:43,"So as I mentioned last video, a nice trick is to conceptualize each vector","Այսպիսով, երբ ես նշեցի վերջին տեսահոլովակը, հաճելի հնարք է յուրաքանչյուր վեկտորի հայեցակարգել",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
27,01:43 -> 01:47,"not as an arrow, but as a single point, the point where its tip sits.","Ոչ թե որպես սլաք, բայց որպես մեկ կետ, այն կետը, երբ դրա հուշում է:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
28,01:48 -> 01:52,"That way, to think about a transformation taking every possible input vector","Այդ կերպ, մտածել վերափոխման մասին, որն ընդունում է յուրաքանչյուր հնարավոր մուտքային վեկտոր",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
29,01:52 -> 01:56,"to some output vector, we watch every point in space moving to some other point.","Որոշ ելքային վեկտորի համար մենք դիտում ենք ամեն կետ տարածության մեջ, որը տեղափոխվում է մի այլ կետ:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
30,01:57 -> 01:59,"In the case of transformations in two dimensions,","Երկու հարթություններում վերափոխումների դեպքում,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
31,01:59 -> 02:02,"to get a better feel for the whole shape of the transformation,",վերափոխման ամբողջ ձեւի ավելի լավ զգալու համար,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
32,02:02 -> 02:05,I like to do this with all of the points on an infinite grid.,Ես սիրում եմ դա անել անսահման ցանցի բոլոր կետերով:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
33,02:06 -> 02:09,"I also sometimes like to keep a copy of the grid in the background,","Ես երբեմն սիրում եմ ֆոնին պահել ցանցի պատճենը,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
34,02:09 -> 02:12,just to help keep track of where everything ends up relative to where it starts.,"Պարզապես օգնելու համար հետեւել, թե որտեղն ամեն ինչ ավարտվում է, որտեղ այն սկսվում է:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
35,02:14 -> 02:19,"The effect for various transformations moving around all of the points in space is,","Տարածության բոլոր կետերի շուրջ շարժվող տարբեր վերափոխումների համար ազդեցությունը,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
36,02:19 -> 02:21,"you've got to admit, beautiful.","Դուք պետք է ընդունեք, գեղեցիկ:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
37,02:21 -> 02:24,It gives the feeling of squishing and morphing space itself.,Այն ինքնին տալիս է բռնի եւ ձեւավորվող տարածքի զգացողություն:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
38,02:25 -> 02:29,"As you can imagine though, arbitrary transformations can look pretty complicated.","Ինչպես պատկերացնում եք, սակայն կամայական վերափոխումները կարող են բավականին բարդ տեսք ունենալ:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
39,02:30 -> 02:34,"But luckily, linear algebra limits itself to a special type of transformation,","Բայց, բարեբախտաբար, գծային հանրահաշիվը սահմանափակում է հատուկ տիպի վերափոխման,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
40,02:34 -> 02:38,"ones that are easier to understand, called linear transformations.","նրանք, որոնք ավելի հեշտ են հասկանալ, կոչվում են գծային վերափոխումներ:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
41,02:39 -> 02:43,"Visually speaking, a transformation is linear if it has two properties.","Տեսողականորեն ասելով, վերափոխումը գծային է, եթե այն ունի երկու հատկություն:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
42,02:43 -> 02:46,"All lines must remain lines without getting curved,","Բոլոր տողերը պետք է մնան տողեր, առանց կոր լինելու,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
43,02:46 -> 02:49,and the origin must remain fixed in place.,Եվ ծագումը պետք է մնա ֆիքսված տեղում:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
44,02:50 -> 02:54,"For example, this right here would not be a linear transformation,","Օրինակ, այս իրավունքը այստեղ գծային վերափոխում չէր լինի,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
45,02:54 -> 02:55,since the lines get all curvy.,Քանի որ տողերը գնում են բոլոր գանգուրները:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
46,02:56 -> 02:59,"And this one right here, although it keeps the lines straight,","Եվ սա հենց այստեղ է, չնայած այն ուղիղ պահում է տողերը,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
47,02:59 -> 03:01,"is not a linear transformation, because it moves the origin.","գծային վերափոխում չէ, քանի որ այն տեղափոխում է ծագումը:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
48,03:02 -> 03:05,"This one here fixes the origin, and it might look like it keeps lines straight,","Այս մեկը այստեղ ամրագրում է ծագումը, եւ դա կարող է լինել, որ այն ուղիղ պահեր է պահում,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
49,03:05 -> 03:09,but that's just because I'm only showing the horizontal and vertical grid lines.,"Բայց դա պարզապես այն պատճառով է, որ ես միայն ցույց եմ տալիս հորիզոնական եւ ուղղահայաց ցանցերը:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
50,03:09 -> 03:12,"When you see what it does to a diagonal line, it becomes clear","Երբ տեսնում ես, թե ինչ է անում անկյունագծային գծի համար, պարզ է դառնում",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
51,03:12 -> 03:15,"that it's not at all linear, since it turns that line all curvy.","որ դա ամենեւին գծային չէ, քանի որ այն շրջվում է, բոլորը curvy:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
52,03:16 -> 03:19,"In general, you should think of linear transformations","Ընդհանրապես, դուք պետք է մտածեք գծային վերափոխումների մասին",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
53,03:19 -> 03:22,as keeping grid lines parallel and evenly spaced.,որպես ցանցային գծեր զուգահեռ եւ հավասարաչափ տարածված պահելով:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
54,03:23 -> 03:27,"Some linear transformations are simple to think about, like rotations about the origin.","Մի քանի գծային վերափոխումներ պարզ են մտածելու մասին, ինչպես ծագման մասին պտույտները:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
55,03:28 -> 03:30,Others are a little trickier to describe with words.,Մյուսները մի փոքր բարդ են բառերով նկարագրելու համար:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
56,03:32 -> 03:35,"So, how do you think you could describe these transformations numerically?","Այսպիսով, ինչպես եք կարծում, որ այս վերափոխումները թվայնորեն նկարագրում եք:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
57,03:35 -> 03:39,"If you were, say, programming some animations to make a video teaching the topic,","Եթե ​​դուք լինեիք, ասեք, ծրագրավորելով որոշ անիմացիաներ `թեման դասավանդելու տեսանյութեր,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
58,03:39 -> 03:44,"what formula do you give the computer so that if you give it the coordinates of a vector,","Ինչ բանաձեւ եք տալիս համակարգիչը այնպես, որ եթե այն դնեք վեկտորի կոորդինատները,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
59,03:44 -> 03:47,it can give you the coordinates of where that vector lands?,"Դա կարող է ձեզ տալ այն կոորդինատները, թե որտեղ են այդ վեկտորային հողերը:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
60,03:48 -> 03:52,"It turns out that you only need to record where the two basis vectors,","Ստացվում է, որ ձեզ հարկավոր է միայն արձանագրել, թե որտեղ է գտնվում երկու հիմնական վեկտորները,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
61,03:52 -> 03:56,"i-hat and j-hat, each land, and everything else will follow from that.","i-hat and j-hat, յուրաքանչյուր երկիր եւ մնացած ամեն ինչ դրանից կհետեւի:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
62,03:57 -> 04:01,"For example, consider the vector v with coordinates negative 1, 2,","Օրինակ, հաշվի առեք վեկտոր v- ն կոորդինատների բացասական 1, 2,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
63,04:01 -> 04:05,meaning that it equals negative 1 times i-hat plus 2 times j-hat.,"Նշանակում է, որ այն հավասար է բացասական 1 անգամ i-hat plus 2 անգամ J-HAT:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
64,04:08 -> 04:12,"If we play some transformation and follow where all three of these vectors go,","Եթե ​​մենք խաղում ենք որոշակի վերափոխում եւ հետեւում ենք, որտեղ գնում են այս բոլոր երեք վեկտորները,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
65,04:12 -> 04:17,the property that grid lines remain parallel and evenly spaced has a really important,"Այն գույքը, որը ցանցային տողերը մնում են զուգահեռ եւ հավասարաչափ տարածված, ունի իսկապես կարեւոր",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
66,04:17 -> 04:18,consequence.,հետեւանք:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
67,04:19 -> 04:22,The place where v lands will be negative 1 times the vector,"Այն վայրը, որտեղ v հողերը բացասական կլինեն 1 անգամ վեկտոր",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
68,04:22 -> 04:25,where i-hat landed plus 2 times the vector where j-hat landed.,"Որտեղ i-hat landed plus 2 անգամ այն ​​վեկտորը, որտեղ J-Hat Landed.",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
69,04:25 -> 04:30,"In other words, it started off as a certain linear combination of i-hat and j-hat,","Այլ կերպ ասած, այն սկսվեց որպես i-hat- ի եւ J-HAT- ի որոշակի գծային համադրություն",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
70,04:30 -> 04:34,and it ends up as that same linear combination of where those two vectors landed.,"Եվ այն ավարտվում է որպես նույն գծային համադրություն, որտեղ վայրէջք են կատարել այդ երկու վեկտորները:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
71,04:35 -> 04:40,This means you can deduce where v must go based only on where i-hat and j-hat each land.,"Սա նշանակում է, որ դուք կարող եք հանգեցնել, թե որտեղ v- ն պետք է հիմնված լինի միայն այն դեպքում, երբ ես յուրաքանչյուր երկիր եմ:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
72,04:41 -> 04:44,This is why I like keeping a copy of the original grid in the background.,Ահա թե ինչու ես սիրում եմ ֆոնին պահպանել բնօրինակ ցանցի պատճենը:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
73,04:45 -> 04:50,"For the transformation shown here, we can read off that i-hat lands on the coordinates 1,","Այստեղ ցուցադրված վերափոխման համար մենք կարող ենք կարդալ այն, որ i-hat lands- ը կոորդինատների վրա 1,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
74,04:50 -> 04:54,"negative 2, and j-hat lands on the x-axis over at the coordinates 3, 0.","Բացասական 2, իսկ J-HAT LENTS- ը X- առանցքի վրա `3, 0 կոորդինատներում:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
75,04:55 -> 05:00,This means that the vector represented by negative 1 i-hat plus 2 times j-hat,"Սա նշանակում է, որ վեկտորը ներկայացված է բացասական 1 I-Hat Plus 2 անգամ J-HAT- ով",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
76,05:00 -> 05:06,"ends up at negative 1 times the vector 1, negative 2 plus 2 times the vector 3, 0.","Ավարտվում է բացասական 1 անգամ վեկտոր 1, բացասական 2 գումարած 2 անգամ վեկտոր 3, 0:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
77,05:07 -> 05:11,"Adding that all together, you can deduce that it has to land on the vector 5, 2.","Բոլորը միասին ավելացնելով, կարող եք եզրակացնել, որ այն պետք է վայրէջք կատարի 5-րդ վեկտորի վրա:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
78,05:14 -> 05:17,"This is a good point to pause and ponder, because it's pretty important.","Սա լավ կետ է դադար տալու եւ խորհելու համար, քանի որ դա բավականին կարեւոր է:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
79,05:18 -> 05:21,"Now, given that I'm actually showing you the full transformation,","Այժմ, հաշվի առնելով, որ ես իրականում ցույց եմ տալիս ձեզ ամբողջական վերափոխումը,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
80,05:21 -> 05:25,"you could have just looked to see that v has the coordinates 5, 2.","Դուք պարզապես կարող եք փնտրել, տեսնելու, որ v- ն ունի 5, 2 կոորդինատներ:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
81,05:25 -> 05:29,But the cool part here is that this gives us a technique to deduce,"Բայց այստեղ զով հատվածն այն է, որ սա մեզ տալիս է տեխնիկա `հանելու համար",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
82,05:29 -> 05:33,where any vectors land so long as we have a record of where i-hat,"որտեղ ցանկացած վեկտորներ վայրէջք են կատարում այնքան ժամանակ, երբ մենք ունենք գրառում, թե որտեղ եմ գլխարկը",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
83,05:33 -> 05:37,and j-hat each land without needing to watch the transformation itself.,"եւ J-HAD- ը յուրաքանչյուր երկիր է, առանց կարիք ունենալու դիտել այդ վերափոխումը:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
84,05:38 -> 05:42,"Write the vector with more general coordinates, x and y,","Գրեք վեկտորը ավելի ընդհանուր կոորդինատներով, x եւ y,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
85,05:42 -> 05:47,"and it will land on x times the vector where i-hat lands, 1, negative 2,","եւ դա վայրէջք կկատարի վեկտորի վրա, որտեղ i-hat հողերը, 1, բացասական 2,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
86,05:47 -> 05:50,"plus y times the vector where j-hat lands, 3, 0.","գումարած y անգամ վեկտորը, որտեղ J-Hat Lands, 3, 0.",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
87,05:51 -> 05:58,"Carrying out that sum, you see that it lands at 1x plus 3y, negative 2x plus 0y.","Այս գումարը իրականացնելով, տեսնում եք, որ այն վայրէջք է կատարում 1x գումարած 3Y, բացասական 2x գումարած 0Y:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
88,05:58 -> 06:03,"I give you any vector, and you can tell me where that vector lands using this formula.","Ես ձեզ ցանկացած վեկտոր եմ տալիս, եւ դուք կարող եք ինձ ասել, թե որտեղ է այդ վեկտորային հողերը օգտագործում այս բանաձեւը:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
89,06:04 -> 06:09,What all of this is saying is that a two-dimensional linear transformation,"Այս ամենը ասում է, որ երկկողմանի գծային վերափոխում է",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
90,06:09 -> 06:12,"is completely described by just four numbers, the two coordinates for","ամբողջովին նկարագրված է ընդամենը չորս թվով, երկու կոորդինատները",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
91,06:12 -> 06:16,where i-hat lands and the two coordinates for where j-hat lands.,"որտեղ ես ունեմ հողեր եւ երկու կոորդինատներ, որոնց համար J-Hat Lands:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
